source_path	classification	canonical_rule	reason	source_sha256	replacement_path	replacement_sha256
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-relationshipReference.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	2a6b823a7c6da33bedb8ea9be74199db8a907530ecf9d3b31f31f92c4539a4c2	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/sml.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	495debc8fa967b77ed37799747b049832f2c95b2ecdb9f19ddcd68f8c9f96ab9	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/vml-main.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	335e9ecd40bb594ec4b916ac8c7b9eead4e16fe1b79f9d4105fdb1c43b66bb1c	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/vml-officeDrawing.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	86c9ac8549d84af107daac8f6b3b0b9ed1113eae22be8fef4c5f2b606f23ae36	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/vml-presentationDrawing.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	db28df195a3a1da2c749162c4e5736c94fc4e3d5e20d767d5ff68a37fdd46fd5	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/vml-spreadsheetDrawing.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	2f7c6b2a8a9d7a7e0dfa32ff3f13856275d83d0bbe968c7fc9954d0f665e7588	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/vml-wordprocessingDrawing.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	f5e69bc0280a2aae659766f782d2af47738c6c97ffabb0b10a871489f60280bc	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/wml.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	a5db454991de6c9d52db8d2dda43d2f27f4cfa2e62c012d6bf202deef90659ce	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/xml.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	70a3c67959f9ad2333016328716101bf8b476e682f29830cc9ee8da63dca7cc2	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/mce/mc.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	fc3d4398375c68a8aa0d608dad9003a3e5cc566f3d16a443f92fca3799ed2df3	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/microsoft/wml-2010.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	60580c222b22548a4c306438a631ae2355db889ff59847cfcfd47943445a7132	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/microsoft/wml-2012.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	85e17de88d4c1af45a571732eb862024cd7897e380efa5825bcfdbe57db21a64	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/microsoft/wml-2018.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	b8bf0d8670a8ba8ea2dd441e7f22a81be7dfca520ca93306e99e4403c234a3b2	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/microsoft/wml-cex-2018.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	6731624fcb1b0df9ab0533bc8fa2d8caa09d419b2280285bdda6c9e94d874f7d	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/microsoft/wml-cid-2016.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	73dde8f5752d4047975fe2948d2ea99d26c1dab981a9739e77624a666090272a	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/microsoft/wml-sdtdatahash-2020.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	441556f2bfff0b49a3a4bae82cac5188aaee5419ddfa288dc0a58ce271f2237d	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/microsoft/wml-symex-2015.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	1973a7ede01d55d351c50422ff451a1ad1f8f52cc792178f14b62f75c123e01f	not_applicable	not_applicable
skills/productivity/powerpoint/SKILL.md	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	45a7803b050e025a1728af5e26c0b6436654f78857294b329d17703d24859377	not_applicable	not_applicable
website/docs/reference/skills-catalog.md	transformed_by_canonical_compliance_rule	P12_restricted_powerpoint_catalog_reference_removal	removed exact productivity-powerpoint row because restricted PowerPoint subtree remains excluded	ac3d90913cf4ec258d48bc646ae85410d6eea991cb38cdab0d5592b939771a3e	website/docs/reference/skills-catalog.md	36d0c05bd2f94b5717d4d152c64183ffd7a3d4049f043a20167f6c63ff7b243b
website/docs/user-guide/skills/bundled/productivity/productivity-powerpoint.md	excluded_by_canonical_policy	P12_restricted_generated_complete_skill_page	generated page reproduces complete restricted skill definition	8acfa3fcf3c9ceb090608ab155b3311f4b24dfbb859e05017dbbb67eba5268de	not_applicable	not_applicable
website/i18n/zh-Hans/docusaurus-plugin-content-docs/current/reference/skills-catalog.md	transformed_by_canonical_compliance_rule	P12_restricted_powerpoint_catalog_reference_removal	removed exact productivity-powerpoint row because restricted PowerPoint subtree remains excluded	8d6e26a39021936c95dda717d04275cd3b2312687d12d92abb0f767250f4c2c4	website/i18n/zh-Hans/docusaurus-plugin-content-docs/current/reference/skills-catalog.md	fa4d58e87c24df69965162d7e70953bc577b044ba2a7b2ece195e153334f749e
website/i18n/zh-Hans/docusaurus-plugin-content-docs/current/user-guide/skills/bundled/productivity/productivity-powerpoint.md	excluded_by_canonical_policy	P12_restricted_generated_complete_skill_page	generated page reproduces complete restricted skill definition	49a0576e07ff8927e04cb4fae16fcb59738f9abd852c9b4223e5817554d1f8bd	not_applicable	not_applicable
website/sidebars.ts	transformed_by_canonical_compliance_rule	P12_restricted_powerpoint_sidebar_reference_removal	removed exact productivity-powerpoint sidebar item because restricted PowerPoint subtree remains excluded	d79cd704442e892e82d51bb6bcfb47bd6075f6cbb0dccf89175e616a053d9b48	website/sidebars.ts	b16ac5bc3dcb4a34317eb2c669f1992ac09f70bdc38444c371fc91f10d324e46
