source_repository	source_tag	source_commit	entry_type	relative_path	git_mode	git_object_id	git_bytes	git_sha256	materialized_bytes	materialized_sha256	verification_status
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/vt-capital/vt-capital-screen.tsx	100644	4ab1fc3f719f2e78176864980ec48e91ad0225fa	24664	bb6ecab737b637adf40c56cf496ee576eb7b73419b9ba089c1b74857a7b56585	24664	bb6ecab737b637adf40c56cf496ee576eb7b73419b9ba089c1b74857a7b56585	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/__tests__/gateway-capabilities.test.ts	100644	2f9b8dece2b1c7ac89becde39279208550102a1f	3197	9232ab4b946e90851c791c361eded0376805fe2c4ea1400abe3c5701aef7fe8a	3197	9232ab4b946e90851c791c361eded0376805fe2c4ea1400abe3c5701aef7fe8a	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/__tests__/local-provider-discovery.test.ts	100644	b7957e844e95fd82478d0650a8de8164f6bbbfcd	3061	68748cc07dcc4cb9cf15a2394b2a75ba1ccfbd38c6ecdb536dc9540e6f6ea4bd	3061	68748cc07dcc4cb9cf15a2394b2a75ba1ccfbd38c6ecdb536dc9540e6f6ea4bd	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/__tests__/memory-browser.test.ts	100644	4589dc35af9b7baa9087e790461d69d866c71acf	1686	4bb548b8445a71e56eb708ce62dac4ecfc173dd25ddf397a0b75acd48b261dd6	1686	4bb548b8445a71e56eb708ce62dac4ecfc173dd25ddf397a0b75acd48b261dd6	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/__tests__/profiles-browser.test.ts	100644	40e4e737522992addb88339a29758eaae1aa4806	6224	5aa0bdf475d678c9609dddd5e87247bd2b4cf2a53a324ebf3270f1a6303f944a	6224	5aa0bdf475d678c9609dddd5e87247bd2b4cf2a53a324ebf3270f1a6303f944a	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/auth-middleware.test.ts	100644	b2e140e63a5913b2d6426bdb9154b091ab50e973	3406	7a5f20b271c8cabfa796cfb6319a34d5a1829e7314c5e4982010d6e71b571932	3406	7a5f20b271c8cabfa796cfb6319a34d5a1829e7314c5e4982010d6e71b571932	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/auth-middleware.ts	100644	9e474e87921186db70bacbd8c81615987b78939d	9101	d902dbf4d3dde41101db5aef6af7c72aa93b9935afcc8daf190304f522e0346e	9101	d902dbf4d3dde41101db5aef6af7c72aa93b9935afcc8daf190304f522e0346e	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/chat-backends.ts	100644	54f399ee301d769a526a46bcc6cc9a50ca625778	3668	cab36e8615bea596e379f3b6f122424ef4e668ccbf7828426eebe5ba8600541d	3668	cab36e8615bea596e379f3b6f122424ef4e668ccbf7828426eebe5ba8600541d	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/chat-event-bus.ts	100644	40eef06aa0d36e5bcd193170a70d634a6c3b3a41	2238	188c010471b490c5b90a551f8d3f1ca7776b1be900b70d435bbe3791dba144d9	2238	188c010471b490c5b90a551f8d3f1ca7776b1be900b70d435bbe3791dba144d9	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/chat-mode.ts	100644	74c354dfdf1a7f55614ef4554402d15839759620	390	121bd5d8d14088308f46f9142ba1ec51c12b29f76c64fb7478059ee1ed0bf60a	390	121bd5d8d14088308f46f9142ba1ec51c12b29f76c64fb7478059ee1ed0bf60a	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/claude-agent.ts	100644	b80a8b5c4ca813daba18627ceedd05796672ec13	5987	406fc2d5e7e90a4f6c8b25d7a7a60b95a155c9300f70b2348fe642e511cbd880	5987	406fc2d5e7e90a4f6c8b25d7a7a60b95a155c9300f70b2348fe642e511cbd880	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/claude-api.ts	100644	3e1bed84c86e5a8bdd9cadb3bd456229d23cee1a	17384	908af9c38071a134befbf00150cdcf3689b638862793b83766a0c981fae86fea	17384	908af9c38071a134befbf00150cdcf3689b638862793b83766a0c981fae86fea	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/claude-dashboard-api.ts	100644	7b4f0ee06616e5ed68efdbf58cca6068e379e037	10540	cd6e4deac3e0bbc432b25d73a8f28c2c59d7759ac20931df3fef47eb245fbf2f	10540	cd6e4deac3e0bbc432b25d73a8f28c2c59d7759ac20931df3fef47eb245fbf2f	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/claude-paths.ts	100644	a603c364272708ac6d235943871ee93a1f5d3b97	1950	f35d8d619873c28aa743a46a371ea92948a62906ee305cb91bc2aa9f63935afc	1950	f35d8d619873c28aa743a46a371ea92948a62906ee305cb91bc2aa9f63935afc	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/claude-tasks-backend.test.ts	100644	22c6e78a56eb372b99589557cd30bcef20e9b437	3749	ef6019c26ee27fe6d58eb5bb66960759a14d0bdb7a3a75ec3ee84ef76d141f69	3749	ef6019c26ee27fe6d58eb5bb66960759a14d0bdb7a3a75ec3ee84ef76d141f69	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/claude-tasks-backend.ts	100644	5d62b6e3c0f1d85e1e438e7ff03b4b3939f2b617	4529	14fd8860d1d27f82cc50807ac3c5b1531ee1a1e4e916fd4e016b3333b5a96e07	4529	14fd8860d1d27f82cc50807ac3c5b1531ee1a1e4e916fd4e016b3333b5a96e07	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/conductor-mission-sanitize.test.ts	100644	e389a35d3cff9644037efdfbe1f82b70410df9a7	1865	124ac1b10ebb11f51f9a93acaa5e64b8ecc696bbe7d999aa93ba8303c35ef482	1865	124ac1b10ebb11f51f9a93acaa5e64b8ecc696bbe7d999aa93ba8303c35ef482	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/conductor-mission-sanitize.ts	100644	10f9f7282451d41d7b761053be104ad0682ba1a8	2120	26c25c7ff75bd0290a16d883fb4e73f5bf189c516820b715c7c71a349310435c	2120	26c25c7ff75bd0290a16d883fb4e73f5bf189c516820b715c7c71a349310435c	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/context-usage.ts	100644	110d00f7d95c4dd97e91cde738673b5dc68f64d8	7525	a3f267acbd4e4f633ae032f99fe742088e3cc37a244fd6a53dc7d350043c0e2d	7525	a3f267acbd4e4f633ae032f99fe742088e3cc37a244fd6a53dc7d350043c0e2d	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/dashboard-aggregator.test.ts	100644	ca3c8cd129941ee08e9ca68afec54f3790ef0da0	14210	e456df4f6fceb0aee7e6be5ec782248a055ac092b3e58012adcfd8a836a8464e	14210	e456df4f6fceb0aee7e6be5ec782248a055ac092b3e58012adcfd8a836a8464e	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/dashboard-aggregator.ts	100644	64009994be861f1bcf0c69a19d8165457931a8ae	33424	cc60b9adf4887125325aaa731f528c916299e087034b2eb4f4a6611eb3edf2c7	33424	cc60b9adf4887125325aaa731f528c916299e087034b2eb4f4a6611eb3edf2c7	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/gateway-capabilities.ts	100644	82e7c3cc758c0aed6f0453facd2dad923b825170	31984	eda4af12339a239f3a31de0d2e326cf28268ff8f5442ed8d50a163e164b05b21	31984	eda4af12339a239f3a31de0d2e326cf28268ff8f5442ed8d50a163e164b05b21	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/gateway.ts	100644	0d8992ffc71b0a81914d61a5f39dafee1a768f3b	27539	c490ebebdaaa4b516734ed1ea08a7b03de6b18890214973dbf93bb2cb56cc2a4	27539	c490ebebdaaa4b516734ed1ea08a7b03de6b18890214973dbf93bb2cb56cc2a4	exact_match
