record_id	ecosystem	component_scope	entry_kind	authority_path	lock_path	dependency_name	declared_constraint	resolved_version	source_type	source_locator	integrity_evidence	platform_or_environment_marker	dependency_group	directness	current_product_value	new_baseline_value	delta_classification	reproducibility_classification	security_classification	lock_authority	required_action	owner_ticket	evidence_status	notes
P15M3-00021	npm	tests	authority_file	2_products/pepper-agent/tests-js/package.json	not_applicable	package.json	sha256:a5865d5bc12de1efb12983c49a4c5d5960c3867eef8db7ef04d068210caebb4e	485_bytes	committed_git_blob	2_products/pepper-agent/tests-js/package.json	content_hash_present	not_applicable	authority	authority_file	not_applicable	a5865d5bc12de1efb12983c49a4c5d5960c3867eef8db7ef04d068210caebb4e	added_upstream_0_19	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=485
P15M3-00022	npm	hermes_cli	authority_file	2_products/pepper-agent/ui-tui/package.json	not_applicable	package.json	sha256:1475f388cf57194055c940bd9e8003baa6073d729ae53bdae469e3906d721cb0	1571_bytes	committed_git_blob	2_products/pepper-agent/ui-tui/package.json	content_hash_present	not_applicable	authority	authority_file	808652cb98ed0d23bc413947f89dd420899d61ce9ec7440d11740e1491a28352	1475f388cf57194055c940bd9e8003baa6073d729ae53bdae469e3906d721cb0	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1571
P15M3-00023	npm	hermes_cli	authority_file	2_products/pepper-agent/ui-tui/packages/hermes-ink/package.json	not_applicable	package.json	sha256:749b0ab9bd65dfd72eed3667bb8b53f672db86801da43f4582b688eecb97cb0a	1577_bytes	committed_git_blob	2_products/pepper-agent/ui-tui/packages/hermes-ink/package.json	content_hash_present	not_applicable	authority	authority_file	585953611a1b366974c6a86813c7e0fddaf860fe97308a37a563cbb600f2b1d4	749b0ab9bd65dfd72eed3667bb8b53f672db86801da43f4582b688eecb97cb0a	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1577
P15M3-00024	python	root_python_project	authority_file	2_products/pepper-agent/uv.lock	2_products/pepper-agent/uv.lock	uv.lock	sha256:97aee767bf5b7b9574995fddcbea5f6a4a536260ee0cc749458e7f514a3a137d	665936_bytes	committed_git_blob	2_products/pepper-agent/uv.lock	content_hash_present	not_applicable	authority	authority_file	3c713791f30a660463d1b674c2760375b7c702687e1488b094535b0ed1375a61	97aee767bf5b7b9574995fddcbea5f6a4a536260ee0cc749458e7f514a3a137d	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	single_authoritative_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=665936
P15M3-00025	npm	web_dashboard	authority_file	2_products/pepper-agent/web/package.json	not_applicable	package.json	sha256:4a6699510879addead42860cfdeb153d1f1af01343d25231fb0bdb4bebc81136	1718_bytes	committed_git_blob	2_products/pepper-agent/web/package.json	content_hash_present	not_applicable	authority	authority_file	dc7451728f3928292744237186b851a0b49d581ca2601697307711f28d8b48a5	4a6699510879addead42860cfdeb153d1f1af01343d25231fb0bdb4bebc81136	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1718
P15M3-00026	npm	documentation_build	authority_file	2_products/pepper-agent/website/package-lock.json	2_products/pepper-agent/website/package-lock.json	package-lock.json	sha256:fc855080475fda41273c63b5050265d9f7e4838c722b970d028c0010a9ab9ffd	772305_bytes	committed_git_blob	2_products/pepper-agent/website/package-lock.json	content_hash_present	not_applicable	authority	authority_file	fc855080475fda41273c63b5050265d9f7e4838c722b970d028c0010a9ab9ffd	fc855080475fda41273c63b5050265d9f7e4838c722b970d028c0010a9ab9ffd	unchanged	not_applicable	acceptable_for_internal_analysis	component_local_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=772305
P15M3-00027	npm	documentation_build	authority_file	2_products/pepper-agent/website/package.json	not_applicable	package.json	sha256:8bdc6037cc3f420a42317fddfe9876abe5bc74e4f37a3f99bde76add963d9872	1607_bytes	committed_git_blob	2_products/pepper-agent/website/package.json	content_hash_present	not_applicable	authority	authority_file	8bdc6037cc3f420a42317fddfe9876abe5bc74e4f37a3f99bde76add963d9872	8bdc6037cc3f420a42317fddfe9876abe5bc74e4f37a3f99bde76add963d9872	unchanged	not_applicable	acceptable_for_internal_analysis	component_local_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1607
P15M3-00028	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/ci.yml	not_applicable	ci.yml	sha256:ebfe211cf6c1573e5612b3db4c52b647436fdc313bbf99a3d17c20a999fb4d1c	11739_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/ci.yml	content_hash_present	not_applicable	authority	authority_file	d03e51c137750104a2345c098ecb4878de72e924893cb0c26d911bb7f07d116f	ebfe211cf6c1573e5612b3db4c52b647436fdc313bbf99a3d17c20a999fb4d1c	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=11739
P15M3-00029	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/contributor-check.yml	not_applicable	contributor-check.yml	sha256:e82fffc43586307fea573d28ea413a8c1700500bf54a363db2acd414a550a24f	2696_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/contributor-check.yml	content_hash_present	not_applicable	authority	authority_file	5784b226c29b0d8fb592e97fb5f9307dcad26688c93f623f9884974785f9172b	e82fffc43586307fea573d28ea413a8c1700500bf54a363db2acd414a550a24f	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=2696
P15M3-00030	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/deploy-site.yml	not_applicable	deploy-site.yml	sha256:9cef7b376ebf10cd6c0285eddca716b07dacf40b9fe059cd02bb9ffda9c38721	7162_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/deploy-site.yml	content_hash_present	not_applicable	authority	authority_file	124838494e9f0ea1346c4cc23c6b4ac8a4061e1cf2ed72e9a9afa2559fc0782e	9cef7b376ebf10cd6c0285eddca716b07dacf40b9fe059cd02bb9ffda9c38721	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=7162
P15M3-00031	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/docker-lint.yml	not_applicable	docker-lint.yml	sha256:25fdc6853a04adff5d4ba6510fac4c0da6724d76eea4acb082a6102758a21be5	1840_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/docker-lint.yml	content_hash_present	not_applicable	authority	authority_file	25fdc6853a04adff5d4ba6510fac4c0da6724d76eea4acb082a6102758a21be5	25fdc6853a04adff5d4ba6510fac4c0da6724d76eea4acb082a6102758a21be5	unchanged	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1840
P15M3-00032	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/docker.yml	not_applicable	docker.yml	sha256:f67298062327f1f7b15da939d373d9a5a068b8c362afbc2e321503216c737631	9205_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/docker.yml	content_hash_present	not_applicable	authority	authority_file	8a7c2fb28760e08eb001a0fe82fe614e6ab7cc8ff047325ae4ee19ca659b12c4	f67298062327f1f7b15da939d373d9a5a068b8c362afbc2e321503216c737631	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=9205
P15M3-00033	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/docs-site-checks.yml	not_applicable	docs-site-checks.yml	sha256:bdd75ebb3e9651506d33e73ff8e60ec105243d0251d0368ed971075cf7f7c0c4	1372_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/docs-site-checks.yml	content_hash_present	not_applicable	authority	authority_file	53d2d91803c4f769fa813377e13dfd2426282de19696bcf3155019073db0c675	bdd75ebb3e9651506d33e73ff8e60ec105243d0251d0368ed971075cf7f7c0c4	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1372
P15M3-00034	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/history-check.yml	not_applicable	history-check.yml	sha256:a4a998675f0d94e5db2ad389f7f15f9f7d332d47bcc67dec0e81a38cae8e5a9c	2610_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/history-check.yml	content_hash_present	not_applicable	authority	authority_file	6b329227660d62c7ca73f51ae08645d6e0dbba0cf832fc5e803fb699ce926a1c	a4a998675f0d94e5db2ad389f7f15f9f7d332d47bcc67dec0e81a38cae8e5a9c	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=2610
P15M3-00035	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/js-autofix.yml	not_applicable	js-autofix.yml	sha256:0ec3b1e8a4d1580a4ab67a8858f0dd6018e14b3c3ba1bca79d23ff8f37eb062e	10727_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/js-autofix.yml	content_hash_present	not_applicable	authority	authority_file	not_applicable	0ec3b1e8a4d1580a4ab67a8858f0dd6018e14b3c3ba1bca79d23ff8f37eb062e	added_upstream_0_19	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=10727
P15M3-00036	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/js-tests.yml	not_applicable	js-tests.yml	sha256:af59f07ff7ebe8ff03f3726914cb95eee7cef558b9250b5c4254095576240d33	1740_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/js-tests.yml	content_hash_present	not_applicable	authority	authority_file	not_applicable	af59f07ff7ebe8ff03f3726914cb95eee7cef558b9250b5c4254095576240d33	added_upstream_0_19	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1740
P15M3-00037	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/lint.yml	not_applicable	lint.yml	sha256:f463ef8806ab7bffd45d57eb0d15705a6af15a175dd7199877512ff5dd9d10cc	11832_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/lint.yml	content_hash_present	not_applicable	authority	authority_file	11a87412f9a9057eee6c01338997ad447d9d9f2c6851bf8f967de992c55e0826	f463ef8806ab7bffd45d57eb0d15705a6af15a175dd7199877512ff5dd9d10cc	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=11832
P15M3-00038	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/lockfile-diff.yml	not_applicable	lockfile-diff.yml	sha256:77ffeac5572f2869059efb99622289024d61bb30e29101862d5a0a97995a5d7a	4265_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/lockfile-diff.yml	content_hash_present	not_applicable	authority	authority_file	not_applicable	77ffeac5572f2869059efb99622289024d61bb30e29101862d5a0a97995a5d7a	added_upstream_0_19	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=4265
P15M3-00039	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/osv-scanner.yml	not_applicable	osv-scanner.yml	sha256:e08950cb5b3ebe0ea8dfabbb43babe342e25d436195c43c515c1a6b960855aa7	4170_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/osv-scanner.yml	content_hash_present	not_applicable	authority	authority_file	7bc02cfdac76f448531b1ec1ec5d968f678b4996fb3e7f27d3ae4846a64cc131	e08950cb5b3ebe0ea8dfabbb43babe342e25d436195c43c515c1a6b960855aa7	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=4170
P15M3-00040	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/skills-index-freshness.yml	not_applicable	skills-index-freshness.yml	sha256:d5bfb77b458593662306ddd551a85df9dc7e36dc3c06cf9531471bf416f7221e	6276_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/skills-index-freshness.yml	content_hash_present	not_applicable	authority	authority_file	f12c7a9335309b7e5f051001e8cbb1a4aa025c2254e5b2cad096a78b0cfb45cb	d5bfb77b458593662306ddd551a85df9dc7e36dc3c06cf9531471bf416f7221e	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=6276
P15M3-00041	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/skills-index.yml	not_applicable	skills-index.yml	sha256:9db65e9b41b386196705349c0fca33d385938e9ac023b34ae94295022b1e8be5	2011_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/skills-index.yml	content_hash_present	not_applicable	authority	authority_file	a217ad368c710ee2b362e5d57b6ad0f8ab4aa1bb075c049862976bfcfd521298	9db65e9b41b386196705349c0fca33d385938e9ac023b34ae94295022b1e8be5	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=2011
P15M3-00042	toolchain	workflow_CI	authority_file	2_products/pepper-agent/.github/workflows/supply-chain-audit.yml	not_applicable	supply-chain-audit.yml	sha256:90100864ce47e1cbd119d80718ae2220faf3133fb447f08b70f472e089a766a7	11428_bytes	committed_git_blob	2_products/pepper-agent/.github/workflows/supply-chain-audit.yml	content_hash_present	not_applicable	authority	authority_file	99431127c0a940a4d23813c077dc14b9bab0ed6910da96d82fdc351b69bd02a5	90100864ce47e1cbd119d80718ae2220faf3133fb447f08b70f472e089a766a7	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=11428
